marca,name,descrizione,image_url
Sixton,Touring NISIDA,"Settori di utilizzo:
- Polivalente
- Logistica e Industria leggera
- Componentistica e Automotive
- Carpenteria

Caratteristiche:
Tomaia: Crosta Scamosciata Bottalata Hydro 1,8-2,0 mm
Fodera: 3D Air circulation 320 gr.
Suoletta: Climaction-Fit  337
Puntale: Fiber cap SXT
Resistenza alla perforazione: KX Antiperforation PS",/images/sixton_prodotti/TouringNISIDA.webp
Sixton,Touring RIMINI,"Settori di utilizzo:
- Polivalente
- Logistica e Industria leggera
- Componentistica e Automotive
- Carpenteria

Caratteristiche:
Tomaia: Crosta Scamosciata Bottalata Hydro  1,6-1,8 mmCrosta Scamosciata Bottalata Millefori  1,6-1,8 mmCrosta Scamosciata Bottalata 1,8-2,0 mm
Fodera: 3D Air circulation 320 gr.
Suoletta: Climaction-Fit  337
Puntale: Fiber cap SXT
Resistenza alla perforazione: KX Antiperforation PS",/images/sixton_prodotti/TouringRIMINI.webp
Sixton,Touring AGILE,"Settori di utilizzo:
- Edilizia di finitura
- Carpenteria
- Componentistica e Automotive
- Aree ESD

Caratteristiche:
Tomaia: Pelle Pieno Fiore Hydro 1,8-2,0 mmPelle nubuk Hydro
Fodera: 3D Air circulation 320 gr.
Suoletta: Climaction-Fit
Puntale: Fiber cap SXT
Resistenza alla perforazione: KX Antiperforation PS",/images/sixton_prodotti/TouringAGILE.webp
Sixton,Touring CAPUA,"Settori di utilizzo:
- Polivalente
- Logistica e Industria leggera
- Componentistica e Automotive
- Carpenteria

Caratteristiche:
Tomaia: MicroFiber Suede 1,8-2,0 mmReflex insertDigitex AiryMicroFiber Suede con Pro-tech  SXT light 1,8-2,0 mm
Fodera: 3D Air circulation 320 gr.
Suoletta: Climaction-Fit  337
Puntale: Fiber cap SXT",/images/sixton_prodotti/TouringCAPUA.webp
Sixton,Touring DEALER BOOT,"Settori di utilizzo:
- Polivalente
- Logistica e Industria leggera
- Agricoltura e Giardinaggio
- Costruzioni

Caratteristiche:
Tomaia: Pelle nubuk Dakar ingrassato Hydro 1,8-2,0 mm
Fodera: Pelle Pieno Fiore Hydro3D Air circulation 320 gr.
Suoletta: Climaction-Fit  337
Puntale: Fiber cap SXT
Resistenza alla perforazione: KX Antiperforation PS",/images/sixton_prodotti/TouringDEALERBOOT.webp
Sixton,Just Grip ROCK,"Settori di utilizzo:
- Edilizia di finitura
- Logistica e Industria leggera
- Componentistica e Automotive
- Aree ESD

Caratteristiche:
Tomaia: Pelle nubuk Hydro  1,6-1,8 mmPelle Pieno Fiore Hydro
Fodera: 3D Air circulation 320 gr.
Suoletta: Five 4 Fit
Resistenza alla perforazione: KX Antiperforation PS",/images/sixton_prodotti/JustGripROCK.webp
Sixton,Just Grip AUCKLAND,"Settori di utilizzo:
- Alimentare e Chimica
- Ho.Re.Ca.
- Aree ESD

Caratteristiche:
Tomaia: Digitex Hydro AiryMicroFiber Suede 1,6-1,8 mmDigitex Hydro AiryMicroFiber Suede con Pro-tech  SXT light 1,6-1,8 mm
Fodera: Breezy 3D,a due strati combinati
Suoletta: Five 4 Fit
Puntale: ",/images/sixton_prodotti/JustGripAUCKLAND.webp
Sixton,Just Grip RANDA,"Settori di utilizzo:
- Alimentare e Chimica
- Aree ESD
- Ho.Re.Ca.

Caratteristiche:
Tomaia: Pelle Fiore bottalato Hydro 1,8-2,0 mm
Fodera: 3D Air circulation 320 gr.
Suoletta: Five 4 Fit",/images/sixton_prodotti/JustGripRANDA.webp
Sixton,Just Grip AVOLA,"Settori di utilizzo:
- Alimentare e Chimica
- Aree ESD
- Ho.Re.Ca.

Caratteristiche:
Tomaia: MicroFiber  XPRO  1,8-2,0 mm
Fodera: Teklife Batteriostatico 3D
Suoletta: Five 4 Fit",/images/sixton_prodotti/JustGripAVOLA.webp
Sixton,Just Grip BARBER,"Settori di utilizzo:
- Polivalente
- Ho.Re.Ca.

Caratteristiche:
Tomaia: Crosta Scamosciata Bottalata Hydro  1,6-1,8 mmPelle Pieno Fiore Hydro
Fodera: 3D Air circulation 320 gr.
Suoletta: Five 4 Fit
Puntale: ",/images/sixton_prodotti/JustGripBARBER.webp
