name,marca,descrizione,image_url
Pile alta visibilità,Kapriol,"Pile alta visibilità con cerniera di apertura e pratiche tasche con chiusura a zip. Il pile invernale ha una vestibilità ergonomica , costina elastica su fondo e polsi per favorire il massimo agio nei movimenti, mentre le fasce riflettenti garantiscono la piena visibilità durante le ore notturne. SPECIFICHE TECNICHE bande riflettenti 5cm ampie tasche con chiusura a zip costina elastica in vita e sui polsi MATERIALI Tessuto esterno : 100% poliestere 300 g/m2",/images/kapriol_abbigliamento/Pile_alta_visibilità.webp
Giacca softshell alta visibilità,Kapriol,"Giacca impermabile alta visibilità realizzata in tessuto tecnico softshell ad alto potere isolante e antivento , con finissaggio esterno idrorepellente. La giacca softshell alta visibilità 2 in 1 è un capo pratico e versatile grazie alle maniche rimovibili tramite zip che trasformano la giacca in un comodo gilet da lavoro. SPECIFICHE TECNICHE maniche staccabili con zip polsini con banda elastica ampie tasche con zip in vita banda riflettente 5 cm MATERIALI Tessuto principale : 100% poliestere",/images/kapriol_abbigliamento/Giacca_softshell_alta_visibilità.webp
Impermeabile alta visibilità,Kapriol,"Giacca antipioggia alta visibilità con cuciture termonastrate, ideale per chi svolge lavori all'aperto in condizioni di freddo intenso. La giacca alta visibilità impermeabile è dotata di un pratico cappuccio ripiegabile all'interno del colletto, ampie tasche, doppia chiusura con cerniera e bottoni automatici. Le fasce riflettenti ad alta visibilità della giacca antipioggia garantiscono la piena visibilità di chi svolge lavori all'aperto in condizioni ostili. SPECIFICHE TECNICHE collo alto protettivo cappuccio ripiegabile all’interno del colletto robusta zip centrale con doppia chiusura con bottoni automatici ampie tasche in vita polsini con banda elastica antivento fasce riflettenti da 5 cm MATERIALI Tessuto principale : 100% poliestere Oxford rivestito in PU",/images/kapriol_abbigliamento/Impermeabile_alta_visibilità.webp
Maglia alta visibilità,Kapriol,"Maglia alta visibilità a manica lunga arancione fluorescente, con fasce riflettenti per garantire la piena visibilità a chi svolge lavori ad alto rischio. Comoda e pratica maglietta riflettente da lavoro in cotone e poliestere, con costina elastica sui polsi e sul fondo. SPECIFICHE TECNICHE fasce riflettenti da 5 cm maniche lunghe costina elastica su fondo e polsi MATERIALI Tessuto principale : 55% Cotone/ 45% Poliestere",/images/kapriol_abbigliamento/Maglia_alta_visibilità.webp
Polo alta visibilità,Kapriol,"Polo alta visibilità a manica corta fluorescente con fasce riflettenti per assicurare la massima visibilità sul posto di lavoro anche in condizioni di scarsa illuminazione. Comoda e resistente, la maglietta riflettente da lavoro viene realizzata in 100% poliestere ed è indicata per aree di cantiere ad alto rischio. SPECIFICHE TECNICHE fasce riflettenti da 5 cm maniche corte MATERIALI Tessuto principale : 100% Poliestere",/images/kapriol_abbigliamento/Polo_alta_visibilità.webp
T-shirt alta visibilità,Kapriol,"Maglietta alta visibilità a manica corta fluorescente con fasce riflettenti per garantire la piena visibilità a chi svolge lavori ad alto rischio in aree di cantiere. Comoda e leggera, la t shirt alta visibilità viene realizzata in cotone e poliestere. SPECIFICHE TECNICHE fasce riflettenti da 5 cm maniche corte MATERIALI Tessuto principale : 55% Cotone/ 45% Poliestere",/images/kapriol_abbigliamento/T-shirt_alta_visibilità.webp
Pantaloni alta visibilità Plus,Kapriol,"I pantaloni alta visibilità Plus vengono realizzati in tessuto misto cotone in grado di resistere all'esposizione prolungata di polveri, sfregamento e lavaggi frequenti. Gli inserti riflettenti e il colore fluo dei panataloni catalifrangenti garantiscono visibilità e la massima sicurezza per chi svolge lavori in aree di cantiere in orari notturni. I pantaloni alta visibilità hanno la vita regolabile e sono dotati di ampie tasche cargo con flap di chiusura , pratiche tasche porta metro e specifiche aperture porta ginocchiere da lavoro. SPECIFICHE TECNICHE ampie tasche cargo con flap tasca porta ginocchiera vita regolabile tasca portametro MATERIALI Tessuto principale arancione : 54% Cotone/ 46% Poliestere, 260 g/m2 Tessuto principale nero : 35% Cotone/ 65% Poliestere, 245 g/m2 Rinforzi: 65% Poliestere/ 35% Cotone, 245 g/m2",/images/kapriol_abbigliamento/Pantaloni_alta_visibilità_Plus.webp
Pantaloni alta visibilità,Kapriol,"I pantaloni alta visibilità vengono realizzati in tessuto misto cotone, con rinforzi anteriori e posteriori che garantiscono un'elevata resistenza all'usura, e pratiche tasche porta ginocchiere per il massimo comfort. Il colore fluorescente con fasce riflettenti dei pantaloni alta visibilità permette una piena visibilità in ogni situazione ambientale, a garanzia di una maggiore sicurezza. Grazie alla comoda apertura in vita a bottone con asola e zip, e ampie tasche sia posteriori che in vita, i pantaloni da lavoro alta visibilità sono studiati per garantire la massima praticità e comodità in ogni situazione. SPECIFICHE TECNICHE apertura in vita con bottone con asola e zip comode tasche in vita e posteriori elastici laterali cuciture principali all’esterno gamba e sul cavallo rinforzate a tre aghi MATERIALI Tessuto principale : 60% Cotone / 40% Poliestere, 240 g/m2 Rinforzi: 65% Poliestere / 35% Cotone, 245 g/m2",/images/kapriol_abbigliamento/Pantaloni_alta_visibilità.webp
Gilet da lavoro alta visibilità,Kapriol,"Gilet da lavoro alta visibilità reversibile che garantisce da un lato ampia visibilità grazie alla presenza di bande riflettenti e, dall'altro lato, presenta un imbottitura con quattro comode tasche con flap di chiusura in velcro. Il gilet alta visibilità Kapriol è certificato EN 20471 per il livello 2 di sicurezza del lavoratore. SPECIFICHE TECNICHE tasche al petto con flap e velcro tasche con zip per un facile accesso tasche in vita con flap e velcro certificazione EN 20471 - livello 2 MATERIALI Tessuto principale : 100% poliestere Imbottitura : 100% poliestere Fodera : 100% poliestere",/images/kapriol_abbigliamento/Gilet_da_lavoro_alta_visibilità.webp
Maglietta alta visibilità,Kapriol,"T-shirt alta visibilità a manica corta fluorescente con fasce riflettenti per garantire la piena visibilità per chi svolge lavori ad alto rischio. Questa maglietta da lavoro viene realizzata in poliestere piquet , particolarmente leggero e traspirante con un pratico taschino sul petto. SPECIFICHE TECNICHE fasce riflettenti da 6 cm su torace tessuto leggero e traspirante taschino sul petto sinistro MATERIALI Tessuto principale : 100% poliestere piquet",/images/kapriol_abbigliamento/Maglietta_alta_visibilità.webp
Pantaloni alta visibilità HV,Kapriol,"I pantaloni alta visibilità sono realizzati in tessuto misto cotone che garantisce un'elevata resistenza. Il colore fluorescente del pantalone da lavoro con fasce riflettenti consente una piena visibilità in ogni situazione ambientale, a garanzia di una maggiore sicurezza. Questi pantaloni da lavoro sono particolarmente comodi e pratici grazie all'apertura in vita con bottone con asola e zip e la presenza di ampie tasche sia posteriori che in vita. I pantaloni alta visibilità elasticizzati fanno parte della linea SMART di abbigliamento da lavoro Kapriol che garantisce sicurezza e protezione sul lavoro. SPECIFICHE TECNICHE cuciture principali all’esterno gamba e sul cavallo rinforzate a tre aghi per maggiore resistenza elastici laterali apertura in vita con bottone con asola e zip comode tasche in vita e posteriori MATERIALI Tessuto principale : 80% poliestere / 20% Cotone Canvas, 280 g/m2",/images/kapriol_abbigliamento/Pantaloni_alta_visibilità_HV.webp
Parka alta visibilità lungo,Kapriol,"Parka alta visibilità tre quarti termonastrato con imbottitura che la rende ideale per chi svolge lavori all'aperto in condizioni di freddo intenso. La giacca alta visibilità oltre alle fasce riflettenti è dotata di cappuccio ripiegabile all'interno del colletto, ampie tasche con chiusura in velcro e una tasca interna. La giacca da lavoro invernale ad alta visibilità che garantisce sicurezza e visibilità per chi svolge lavori pesanti in condizioni ostili. SPECIFICHE TECNICHE cappuccio ripiegabile all’interno del colletto con coulisse anteriore di regolazione collo alto protettivo robusta zip centrale a dentino con doppio cursore per maggiore praticità ampie tasche in vita con patta e velcro tasca interna cuffia in costina all’interno dei polsi per maggiore comfort e protezione dal vento fasce riflettenti da 5 cm su torace, vita, spalle e braccia MATERIALI Tessuto principale : 100% poliestere Oxford Imbottitura : ovatta 100% poliestere Fodera : Taffeta morbido e traspirante",/images/kapriol_abbigliamento/Parka_alta_visibilità_lungo.webp
Parka alta visibilità,Kapriol,"La giacca alta visibilità combina un resistente giaccone a tre quarti termonastrato impermeabile e un comodo giubbetto in pile. Questo modello di parka da lavoro 4 in 1 può essere modulato in base alle diverse necessità: giaccone alta visibilità doppio giubbetto riflettente con manica staccabile gilet da lavoro reversibile Il parka alta visibilità nel color arancione fluorescente è dotato di ampie fasce riflettenti di 5 cm su torace, vita, spalle e braccia, che consentono una piena visibilità e sicurezza in ogni situazione di lavoro. SPECIFICHE TECNICHE impermeabile cuciture termonastrate cappuccio ripiegabile all’interno del colletto taschino portacellulare al petto con patta, velcro e soffietti fasce riflettenti da 5 cm su torace, vita, spalle e braccia ampie tasche in vita con patta e velcro MATERIALI Tessuto principale : 100% poliestere Oxford Fodera : Taffeta morbido con rete traspirante Giubbetto/Gilet staccabile : 100% poliestre Oxford Maniche : 100% poliestere e Taffeta",/images/kapriol_abbigliamento/Parka_alta_visibilità.webp
Bretelle con fasce riflettenti,Kapriol,Bretelle con fasce riflettenti per garantire la piena visibilità e sicurezza in ogni ambiente di lavoro. Le bretelle riflettenti sono dotate di chiusura anteriore a strappo con velcro. SPECIFICHE TECNICHE chiusura anteriore con velcro colore ad alta visibilità fasce riflettenti da 3 cm su spalle e torace MATERIALI Tessuto principale: 100% poliestere,/images/kapriol_abbigliamento/Bretelle_con_fasce_riflettenti.webp
Gilet HV,Kapriol,Gilet alta visibilità giallo e arancione fluo con bande riflettenti che lo rendono visibile nelle ore notturne. Questo gilet da lavoro certificato EN 20471 è pensato per chi svolge lavori in ambienti ad elevato richio. Il Gilet HV è disponibile in taglia unica . SPECIFICHE TECNICHE bande riflettenti in vita certificato EN 20471 taglia unica MATERIALI Tessuto principale : 100% poliestere,/images/kapriol_abbigliamento/Gilet_HV.webp
Pantaloni da lavoro Vertical,Kapriol,"Pantaloni tecnici da lavoro in resistente tessuto elasticizzato che favorisce i movimenti, dotati di ghetta protettiva interna che limita la penetrazione di detriti. Il tessuto di questo modello tecnico di pantaloni da uomo ha un finissaggio esterno ""water repellent"" in grado di far scivolare l'umidità sulla superficie. I pantaloni da lavoro Vertical sono particolarmente adatti per attività che richiedono il massimo della praticità e del comfort. SPECIFICHE TECNICHE ampie tasche in vita tasche sulla coscia con chiusura a zip preformatura delle ginocchia e piping riflettente tasca posteriore con zip resistenti pannelli di rinforzo elastico in vita per una comoda vestibilità e apertura con bottone automatico e zip ghetta protettiva interna MATERIALI Tessuto principale : 54% Nylon / 39% Poliestere / 7% Elastan - 215 g/m2 Rinforzi : 90% Poliestere / 10% Elastan - 285 g/m2",/images/kapriol_abbigliamento/Pantaloni_da_lavoro_Vertical.webp
Pantaloni da lavoro Tech,Kapriol,"Pantaloni tecnici da lavoro in tessuto elasticizzato con pratiche aperture laterali di ventilazione con chiusura a zip. Il tessuto dei pantaloni da lavoro Tech ha un finissaggio esterno ""water repellent"" in grado di fra scivolare l'acqua dalla superficie. Questi pantaloni da lavoro sono dotati di pratiche tasche anteriori e posteriori , anelli porta bretelle e sistema di protezione a fondo gamba con gancio elastico di aggancio alle scarpe . Pantaloni da lavoro Kapriol ideali per per attività che richiedono il massimo della praticità e del comfort, disponibili in diverse colorazioni e nella versione pantaloncino . SPECIFICHE TECNICHE ampie tasche in vita preformatura del ginocchio tasca posteriore con zip aperture laterali di ventilazione con chiusura a zip resistenti pannelli di rinforzo anello per bretelle elastico in vita e apertura con bottone automatico e zip sistema protettivo con gancio ed elastico al fondo gamba MATERIALI Tessuto principale : 91% Nylon / 9% Elastan - 190 g/m2 Rinforzi : 96% Poliestere / 4% Elastan - 285 g/m2",/images/kapriol_abbigliamento/Pantaloni_da_lavoro_Tech.webp
Pantaloni da lavoro Cargo,Kapriol,"I pantaloni cargo da lavoro sono ideali per chi cerca comfort e praticità. Realizzati in tessuto resistente, sono dotati di tasche cargo multi-scomparto per avere a portata di mano tutti gli strumenti da lavoro. Il ginocchio preformato con pince garantisce libertà di movimento durante le attività e una vestibilità ottimale. Perfetti per il lavoro e il tempo libero, i pantaloni lavoro Cargo offrono durabilità e funzionalità in ogni situazione. SPECIFICHE TECNICHE tasche cargo multi scomparto ginocchio preformato con pince MATERIALI Tessuto principale: 95% cotone / 5% elastan - 350 g/m2",/images/kapriol_abbigliamento/Pantaloni_da_lavoro_Cargo.webp
Pantaloni da lavoro Tropic,Kapriol,"I pantaloni da lavoro Tropic sono progettati per offrire comfort e praticità in ogni situazione. Dotati di elastico in vita e una vestibilità regolabile, i pantaloni tecnici sono equipaggiati di una comoda tasca porta metro e una tasca con zip inclinata sulla coscia sinistra, ideale per riporre oggetti di lavoro. I pantaloni da lavoro Tropic sono dotati di fattore di protezione UPF 50+ e garantiscono la schermatura dagli effetti dannosi dei raggi UV, ideali per chi passa le giornate all'aperto. SPECIFICHE TECNICHE elastico in vita fattore di protezione UPF 50+ tasca zip inclinata sulla coscia sinistra tasca porta metro MATERIALI Tessuto principale: 76% poliestere / 24% cotone - 156 g/m2",/images/kapriol_abbigliamento/Pantaloni_da_lavoro_Tropic.webp
