name,description,url,image_url
Vite SPARK,"Vite SPARK - vite strutturale per legno uso professionale - THE LOW ENERGY SCREW FOR WOOD l’evoluzione di gamma con caratteristiche superiori
idonea per impieghi di carpenteria professionale
fissaggio di elementi in legno portanti e strutturali 
certificata EN 14592:2008 + A1:2012
classe di reazione al fuoco A1, secondo EN 13501
testa autosvasante conica con collo a doppio rinforzo e impronta TX
filetto doppio HiLo a passo grosso per una maggiore velocità di avvitamento
il tratto filettato del gambo è sagomato a gradini “Stairs”
il movimento oscillatorio durante l’avvitamento garantisce un minor attrito e consente di lavorare con minor sforzo e minor dispendio di energie per uomo e utensili
punta speciale – allargamento delle fibre di legno, senza taglio o fresatura come nelle viti tradizionali con fresa
punta T-Rex dentellata ad alto potere di penetrazione
prodotta con acciaio speciale al carbonio temperato ad alta flessibilità
trattamento superficiale a base di cera lubrificante
zincata gialla
nessun preforo, nessuna scheggiatura, nessuna svasatura necessaria
in scatola “premium” con doppia apertura
1 inserto incluso in ogni confezione",https://www.unishop.it/5x70/0161-95-70-01,/images/unishop_products_viteria/ViteSPARK.webp
Testa cilindrica ridotta zinc…,"Vite VG Stardrive - vite per congiunzione travi in legno contrapposte idonea per costruzioni in legno lamellare, prefabbricati in legno, solai e carpenteria legno
 
certificata ETA-12/0373
classe di reazione al fuoco A1, secondo EN 13501
testa ridotta
impronta TX
filetto intero a passo grosso
prodotta con acciaio al carbonio temperato
trattamento superficiale a base di cera lubrificante
nessun preforo, nessuna scheggiatura, nessuna svasatura necessaria",https://www.unishop.it/8x160/0155-118-160-01,/images/unishop_products_viteria/Testacilindricaridottazinc.webp
Vite 2FX Duofix EVO,"Vite 2FX Duofix EVO - vite strutturale per legno uso professionale l’evoluzione di gamma con caratteristiche superiori
idonea per impieghi di carpenteria professionale
fissaggio di elementi in legno portanti e strutturali
 certificata EN 14592:2008 + prA1:2012classe di reazione al fuoco A1, secondo EN 13501testa autosvasante conica con collo a doppio rinforzoimpronta TXfiletto doppio HiLo a passo rapidofiletto fresante centrale per riduzione sforzo di avvitamentoprodotta con acciaio speciale al carbonio temperato ad alta flessibilitàpunta T-Rex dentellata ad alto potere di penetrazionetrattamento superficiale a base di cera lubrificantezincata giallanessun preforo, nessuna scheggiatura, nessuna svasatura necessariain scatola “premium” con doppia apertura1 inserto incluso in ogni confezione",https://www.unishop.it/3-5x35/0160-935-35-01,/images/unishop_products_viteria/Vite2FXDuofixEVO.webp
Testa piana svasata zincata g…,"Vite VG Stardrive - vite per congiunzione travi in legno contrapposte idonea per costruzioni in legno lamellare, prefabbricati in legno, solai e carpenteria legno
 
certificata ETA-12/0373
classe di reazione al fuoco A1, secondo EN 13501
testa ridotta
impronta TX
filetto intero a passo grosso
prodotta con acciaio al carbonio temperato
trattamento superficiale a base di cera lubrificante
nessun preforo, nessuna scheggiatura, nessuna svasatura necessaria",https://www.unishop.it/10x180/0155-10-180-01,/images/unishop_products_viteria/Testapianasvasatazincatag.webp
Vite 2FX Evo OUTDOOR,"Vite 2FX Evo OUTDOOR - vite per legno strutturale ideale pe ambienti esterni l’evoluzione di gamma con caratteristiche superiori
idonea per impieghi di carpenteria professionale
fissaggio di elementi in legno portanti e strutturali.
La vite è adatta inoltre per legni aggressivi con acidi tannici
(come castagno e rovere) e legni impregnati e/o trattati chimicamente 
certificata EN 14592:2008 + prA1:2012
classe di reazione al fuoco A1, secondo EN 13501
testa autosvasante conica con collo a doppio rinforzo
impronta TX
filetto doppio HiLo a passo rapido
filetto fresante centrale per ridurre lo sforzo di avvitamento
prodotta con acciaio speciale al carbonio temperato ad alta flessibilità
punta T-Rex dentellata ad alto potere di penetrazione
trattamento superficiale anticorrosione DLS-1000
rivestimento multistrato 20 µm (micron) di giallo galvanizzato, “flakes” di alluminio e resine epossidiche.
aspetto visivo grigio chiaro
resistenza di 1000 ore nel test di nebbia salina secondo EN ISO 9227
classe di corrosività alta C4 (secondo UNI EN ISO 12944).
nessuna scheggiatura, nessuna svasatura necessaria
in scatola “premium” con doppia apertura
1 inserto incluso in ogni confezione",https://www.unishop.it/5x70/1160-750-70-01,/images/unishop_products_viteria/Vite2FXEvoOUTDOOR.webp
Vite GPR Stardrive,"Vite GPR Stardrive - vite strutturale per legno idonea per impieghi di carpenteria
fissaggio di elementi in legno portanti e strutturali
 certificata ETA-12/0373classe di reazione al fuoco A1, secondo EN 13501testa autosvasante conica con collo a doppio rinforzoimpronta TXfiletto singolo a passo rapidofiletto fresante centrale per riduzione sforzo di avvitamentoprodotta con acciaio speciale al carbonio temperatopunta certificata a doppio filetto ad alta velocità di penetrazionetrattamento superficiale a base di cera lubrificantezincata giallanessun preforo, nessuna scheggiatura, nessuna svasatura necessaria1 inserto incluso in ogni confezione",https://www.unishop.it/6x90/3150-6-90-01,/images/unishop_products_viteria/ViteGPRStardrive.webp
Rondella per viti carpenteria,Rondella per viti carpenteria - in acciaio zincato giallo,https://www.unishop.it/8x19.5/0160-060-01,/images/unishop_products_viteria/Rondellaperviticarpenteria.webp
Vite SAF Simply Rewind,"Vite SAF Simply Rewind - autoforante per giunzioni invisibili legno alluminio/acciaio idonei per fissaggi invisibili legno – ALUFIX con anima piena / acciaio
permette un fissaggio solidale della vite all’anima metallica
 certificata CE EN14592:2008 + prA1:2012testa autosvasante a diametro ridotto che evita di effettuare fresatura per inserire il tappo in legno con Ø15 mmfiletto centrale Rewind™ a tripla spirale elicoidale che permette la rimozione della vite stessapunta fresante certificata progettata per penetrare facilmente nel legno e nel metallo, polverizzando il trucioloresistenza al fuoco R60 con utilizzo di tappi in legno con spessore min. 40mm",https://www.unishop.it/7x153/0685-007-155-01,/images/unishop_products_viteria/ViteSAFSimplyRewind.webp
Vite UHB,"Vite UHB - vite distanziale per legno a doppio filetto idonea per realizzazione di pacchetti isolanti e per impieghi strutturali e non strutturali in legno massiccio
 certificata ETA-12/0197classe di reazione al fuoco A1, secondo EN 13501testa cilindrica ridottaimpronta TX40doppio filetto: sottotesta 70mm, punta 59mmalette raschianti centrali per riduzione sforzo di avvitamentoprodotta con acciaio speciale al carbonio temperato ad alta flessibilitàpunta speciale che evita rottura delle fibre del legnotrattamento superficiale a base di cera lubrificantezincata biancanessun preforo, nessuna scheggiatura, nessuna svasatura necessaria",https://www.unishop.it/8x230/0154-8-230-02,/images/unishop_products_viteria/ViteUHB.webp
Vite RED2FIX,"Vite RED2FIX - vite per solai collaboranti legno-calcestruzzo idonea per ristrutturazione dei solai in legno e per il recupero edilizio di solai in edifici storici ed antichi.
Adegua le vecchie costruzioni ai nuovi carichi richiesti dalle normative nazionali e comunitarie.
 certificata ETA-18/0829omologata secondo Z-9.1-845 per la realizzazione di solai collaboranti legno-calcestruzzoclasse di reazione al fuoco A1, secondo EN 13501testa esagonale con rinforzo sottotestaimpronta TXfiletto singolo a passo rapidofiletto fresante centrale per riduzione sforzo di avvitamentoprodotta con acciaio speciale al carbonio temperato ad alta flessibilitàpunta certificata a doppio filetto ad alta velocità di penetrazionezincata e rivestita da trattamento speciale RED ad altissima resistenza alla corrosionenessun preforo necessario",https://www.unishop.it/8x155/0191-8-155-01,/images/unishop_products_viteria/ViteRED2FIX.webp
