name,marca,descrizione,image_url
Cordino di posizionamento con assorbitore,Kapriol,"Cordino di posizionamento regolabile tramite anello in acciaio e corda in poliestere di diametro 12 mm particolarmente resistente all’usura. Il cordino regolabile anticaduta è dotato di connettore per aggancio alla struttura a grande apertura da 56 mm con pratica leva di sicurezza. Questo cordino di posizionamento è equipaggiato di assorbitore di energia con fettuccia in poliammide da 32 mm che riduce l'impatto da caduta, ideale per l'utilizzo su piattaforma. SPECIFICHE TECNICHE connettore con apertura da 56 mm e leva di sicurezza anello di regolazione dissipatore di energia con fettuccia da 32 mm e involucro di contenimento in PE corda diametro 12 mm lunghezza 1,5 m norma EN 355 MATERIALI Connettore : acciaio Anello regolatore : acciaio Cordino : poliestere Fettuccia : poliammide",/images/kapriol_safety/Cordinodiposizionamentoconassorbitore.webp
Cordino anticaduta con assorbitore,Kapriol,"Cordino anticaduta in poliestere a norma EN 355 con doppio connettore a ghiera , uno per l'aggancio al punto di ancoraggio mentre l'altro per l'aggancio all'imbracatura. Il cordino anticaduta Kapriol è dotato di dissipatore di energia con fettuccia in poliammide da 32 mm e involucro di contenimento che riduce la forza di impatto in fase di caduta. SPECIFICHE TECNICHE connettore a ghiera connettore a ghiera di aggancio al punto di ancoraggio dissipatore di energia con fettuccia da 32 mm e involucro di contenimento in PE lunghezza 2 m norma EN 355 MATERIALI Connettore : acciaio Cordino : poliestere Fettuccia : poliammide",/images/kapriol_safety/Cordinoanticadutaconassorbitore.webp
Cordino con assorbitore,Kapriol,"Cordino anticaduta con assorbitore di energia con fettuccia in poliammide da 32 mm e involucro di contenimento in gradi di ridurre la forza di impatto in fase di caduta. Il cordino anticaduta in fettuccia di poliammide, particolarmente resistente all’usura, è dotato di un connettore in acciaio a grande apertura con leva di sicurezza per l'aggancio alla struttura. SPECIFICHE TECNICHE connettore con apertura da 56 mm e leva di sicurezza dissipatore di energia con fettuccia da 32 mm e involucro di contenimento in PE lunghezza 1,5 m norma EN 355 MATERIALI Connettore : acciaio Cordino : poliestere Fettuccia : poliammide",/images/kapriol_safety/Cordinoconassorbitore.webp
Cordino di posizionamento regolabile,Kapriol,"Cordino di posizionamento regolabile dotato di un resistente occhiello in acciaio che garantisce resistenza e sicurezza, regolabile tramite anello in lega leggera. La guaina di rivestimento del cordino anticaduta garantisce protezione nei punti di maggior sfregamento. Il cordino di posizionamento Kapriol a norma EN 358 è utilizzabile con moschettoni per aggancio agli anelli di posizionamento dell’imbracatura. SPECIFICHE TECNICHE occhielli in acciaio anello di regolazione guaina protettiva lunghezza 2 m norma EN 358 MATERIALI Connettori : acciaio Anello regolatore : lega di alluminio",/images/kapriol_safety/Cordinodiposizionamentoregolabile.webp
Cordino di posizionamento con bloccaggio,Kapriol,"Cordino di posizionamento regolabile con sistema di bloccaggio completo di moschettone, connettore e regolatore. Il cordino di posizionamento Kapriol si compone di una resistente corda con diametro di 14 mm , con fettuccia di protezione che riduce l'effetto di abrasione, connettore in acciaio e regolatore in lega di alluminio con pratico moschettone che semplifica e velocizza le operazioni di posizionamento. SPECIFICHE TECNICHE corda di diametro 14 mm connettore in acciaio fettuccia di protezione regolatore con moschettone di posizionamento lunghezza 2 m norma EN 358 MATERIALI Connettori : acciaio Regolatore : lega di alluminio",/images/kapriol_safety/Cordinodiposizionamentoconbloccaggio.webp
Cordino anticaduta elastico,Kapriol,Cordino anticaduta elastico a norma EN 355 con connettore a ghiera per l'aggancio all'imbracatura. Questo cordino anticaduta ad un solo connettore in acciaio con leva di sicurezza favorisce gli spostamenti dell'operatore grazie al suo ingombro limitato. Il cordino anticaduta elastico è inoltre dotato di dissipatore di energia in grado di attutire la forza dell'impatto in caso di caduta. SPECIFICHE TECNICHE connettore a ghiera connettore con apertura di 56mm e leva di sicurezza dissipatore di energia con fettuccia da 32 mm e involucro di contenimento in PE lunghezza 2 m norma EN 355 MATERIALI Connettori : acciaio Fettuccia : poliammide Involucro di contenimento : polietilene,/images/kapriol_safety/Cordinoanticadutaelastico.webp
Cordino doppio elastico con assorbitore,Kapriol,"Cordino anticaduta elastico con elevato rapporto di allungamento. I due connettori ad ampia apertura con leva di sicurezza cosentono di progredire ancorando in maniera alternata i cordini, mantenendo in sicurezza l'operatore. Il cordino doppio anticaduta è dotato di assorbitore di energia con fettuccia e involucro di contenimento in grado di ridurre la forza di impatto in fase di caduta. SPECIFICHE TECNICHE connettore a ghiera due connettori con apertura 56mm e leva di sicurezza assorbitore di energia con fettuccia da 32 mm e involucro di contenimento in PE lunghezza 2 m norma EN 355 MATERIALI Connettori : acciaio Fettuccia : poliammide Involucro di contenimento : polietilene",/images/kapriol_safety/Cordinodoppioelasticoconassorbitore.webp
Cordino doppio con assorbitore,Kapriol,"Cordino anticaduta a due connettori con ampia apertura di 56mm e leva di sicurezza per l'aggancio sicuro alla struttura. Il doppio cordino anticaduta permette di progredire ancorando vicendevolmente prima un cordino e poi l’altro, garantendo la totale sicurezza all’utilizzatore. Il connettore a ghiera del cordino anticaduta consente l'aggancio all’imbracatura, mentre l' assorbitore di energia , con fettuccia in poliammide da 32 mm e involucro di contenimento in PE, riduce la forza di impatto in fase di caduta. SPECIFICHE TECNICHE connettore a ghiera due connettori con apertura 56mm e leva di sicurezza assorbitore di energia con fettuccia da 32 mm e involucro di contenimento in PE lunghezza 1,5 m norma EN 355 MATERIALI Connettori : acciaio Fettuccia : poliammide Involucro di contenimento : polietilene",/images/kapriol_safety/Cordinodoppioconassorbitore.webp
Dispositivo anticaduta retrattile 20m,Kapriol,"Dispositivo anticaduta retrattile con fune metallica galvanizzata con lunghezza di 10-20 metri e una portata massima di 140 kg. Questo dispositivo anticaduta può essere utilizzato su superfici piane o inclinate per soli scopi di trattenuta e posizionamento che non comportino possibilità di caduta. Il dispositivo retrattile a fune metallica garantisce una carico di rottura di 15 kN e non è certificato per l’utilizzo in orizzontale , in caso di caduta si potrebbe verificare la rottura del cavo su spigoli vivi. SPECIFICHE TECNICHE carter di protezione carico di rottura 15 kN portata massima 140 kg fune di diametro 4 mm e lunghezza 10-20 m norma EN 360 MATERIALI Fune : metallo galvanizzato Carter : ABS antiurto",/images/kapriol_safety/Dispositivoanticadutaretrattile20m.webp
Dispositivo anticaduta su corda Easy,Kapriol,"Dispositivo anticaduta su corda Kernmantle di diametro 12 mm e lunghezza 15 m dotato di resistente connettore in acciaio e di meccanismo autobloccante . Questa corda anticaduta è equipaggiata di assorbitore di energia con fettuccia e involucro di contenimento in grado di ridurre la forza d'impatto in caso di caduta. Il dispositivo anticaduta su corda Easy, certificato per uso orizzontale su spigolo vivo, è particolarmente indicato per lavori su falde e tralicci , garantendo la possibilità all'operatore di muoversi liberamente e di mantenere l'equilibrio in condizioni di instabilità. SPECIFICHE TECNICHE corda Kernmantle di diametro 12 mm e lunghezza 15 m meccanismo autobloccante in acciaio connettore assorbitore di energia con fettuccia da 32 mm e involucro di contenimento in PE certificato per uso orizzontale su spigolo vivo norma EN 353-2 MATERIALI Corda : poliestere Connettore : acciaio Fettuccia : poliammide",/images/kapriol_safety/DispositivoanticadutasucordaEasy.webp
