name,brand,descrizione,image_url
KIT RESTAURO LEGNO OLIATO OPACO,Marbec,"Questo Kit fai da te è pensato per il restauro di pavimenti smagriti, ingrigiti e deteriorati dal tempo e dall'usura del calpestio. Riaccende i colori del legno uniformando l’aspetto del pavimento e dona al materiale una nuova protezione idrorepellente e antimacchia.",/images/marbec_products/KITRESTAUROLEGNOOLIATOOPACO.webp
KIT RESTAURA LEGNO VERNICATO OPACO,Marbec,"Questo Kit fai da te è pensato per il restauro di pavimenti smagriti, ingrigiti e deteriorati dal tempo e dall'usura del calpestio. Riaccende i colori del legno uniformando l’aspetto del pavimento e dona al materiale una nuova protezione idrorepellente e antimacchia.",/images/marbec_products/KITRESTAURALEGNOVERNICATOOPACO.webp
KIT RESTAURA LEGNO OLIATO LUCIDO,Marbec,"Kit completo per il restauro fai da te di pavimenti in legno oliato lucido. Rigenera, protegge e ravviva il parquet usurato, restituendo colore, lucentezza e idrorepellenza.",/images/marbec_products/KITRESTAURALEGNOOLIATOLUCIDO.webp
KIT RESTAURA LEGNO VERNICIATO LUCIDO,Marbec,"Kit completo per il restauro fai da te di pavimenti in legno verniciato lucido. Ravviva il colore, elimina l’ingrigimento, protegge da sporco e umidità senza carteggiatura.",/images/marbec_products/KITRESTAURALEGNOVERNICIATOLUCIDO.webp
KIT MANUTENZIONE INFISSI,Marbec,"Kit completo per la manutenzione di infissi e serramenti in legno, alluminio, PVC, metallo e ferro battuto. Elimina lo sporco, sgrassa a fondo, ravviva i colori e protegge le superfici con un’azione idrorepellente, antisporco e resistente ai raggi U.V.",/images/marbec_products/KITMANUTENZIONEINFISSI.webp
KIT RECUPERA INFISSI IN ALLUMINIO E METALLO,Marbec,"Kit completo per pulire, rigenerare e proteggere infissi in alluminio, metallo verniciato e ferro battuto, ripristinando colore e resistenza agli agenti atmosferici.",/images/marbec_products/KITRECUPERAINFISSIINALLUMINIOEMETALLO.webp
KIT RECUPERA INFISSI IN LEGNO,Marbec,"Progettato per rinnovare gli infissi e serramenti in legno verniciati o impregnati ad olio, offre una soluzione fai da te contro i danni causati dal sole e dagli agenti atmosferici. Accende i colori dei materiali e dona una protezione idrorepellente, antisporco e resistente ai raggi U.V. Rende le superfici più facili da pulire.",/images/marbec_products/KITRECUPERAINFISSIINLEGNO.webp
PROTEGGI INFISSI,Marbec,Cera di protezione per infissi e serramenti interni ed esterni. Protegge dai raggi U.V. e dagli agenti atmosferici e aumenta la resistenza idrorepellente e antimacchia.,/images/marbec_products/PROTEGGIINFISSI.webp
PULI INFISSI,Marbec,"Detergente sgrassante per infissi e serramenti, ideale per pulizia ordinarie che straordinarie. Sicuro su PVC, legno, alluminio e metallo. Rimuove smog, polvere, calcare e sporco atmosferico. Non contiene soda caustica, ammoniaca e solventi.",/images/marbec_products/PULIINFISSI.webp
SMACCHIA INFISSI,Marbec,"Smacchiatore specifico per il recupero e la pulizia profonda degli infissi in legno esposti agli agenti atmosferici. Rimuove efficacemente la patina grigia causata dall’invecchiamento e dall’esposizione al sole, eliminando bruciature, sbiancamenti, macchie e aloni di tannino. Ripristina l’aspetto naturale del legno e prepara la superficie per una nuova protezione",/images/marbec_products/SMACCHIAINFISSI.webp
PROTEX,Marbec,"Protettivo idrorepellente ed antisporco per tessuti naturali e sintetici interni ed esterni. Crea una protezione invisibile, resistente ai raggi U.V. e di lunga durata. Di facile applicazione e non modifica la morbidezza del tessuto,",/images/marbec_products/PROTEX.webp
Rubinetto per Tanica 5Lt- 10Lt- 20Lt,Marbec,"Rubinetto per taniche MARBEC da 5, 10 e 20 litri. Permette un travaso facile, sicuro e senza gocce. Ideale per detergenti e liquidi tecnici.",/images/marbec_products/RubinettoperTanica5Lt-10Lt-20Lt.webp
AMMORBIDENTE BELBUCATO AGRUMOSO,Marbec,Ammorbidente superconcentrato per bucato al profumo di agrumi. Dona grande morbidezza ai tuoi capi e lascia un elegante profumo agrumato.,/images/marbec_products/AMMORBIDENTEBELBUCATOAGRUMOSO.webp
AMMORBIDENTE BELBUCATO MORBIDOSO,Marbec,Ammorbidente superconcentrato per bucato al profumo di marsiglia. Dona grande morbidezza ai tuoi capi e rilascia una fragranza fresca e piacevole.,/images/marbec_products/AMMORBIDENTEBELBUCATOMORBIDOSO.webp
AMMORBIDENTE BELBUCATO PROFUMOSO,Marbec,Ammorbidente superconcentrato per bucato dal profumo fresco. Dona grande morbidezza ai tuoi capi e rilascia una fragranza fresca e molto duratura.,/images/marbec_products/AMMORBIDENTEBELBUCATOPROFUMOSO.webp
AMMORBIDENTE BELBUCATO FLOREALE,Marbec,Ammorbidente superconcentrato per bucato al profumo di fiori. Dona grande morbidezza ai tuoi capi e lascia un elegante profumo floreale.,/images/marbec_products/AMMORBIDENTEBELBUCATOFLOREALE.webp
DETERSIVO BELBUCATO MARSIGLIA,Marbec,"Detergente liquido per il bucato. Grazie alla sua formula avanzata, questo detergente offre un'azione pulente eccezionale e lascia sui tuoi capi un gradevole profumo di marsiglia, rendendo ogni lavaggio un'esperienza piacevole.",/images/marbec_products/DETERSIVOBELBUCATOMARSIGLIA.webp
DETERSIVO BELBUCATO CURA COLORE,Marbec,"Detergente liquido per il bucato. Grazie alla sua formula avanzata, questo detergente offre un'azione pulente eccezionale e lascia sui tuoi capi un gradevole profumo fresco, con un'attenzione particolare a non alterare il colore degli indumenti.",/images/marbec_products/DETERSIVOBELBUCATOCURACOLORE.webp
DETERSIVO BELBUCATO BIANCOPERFETTO,Marbec,"Detergente liquido per il bucato. Grazie alla sua formula avanzata, questo detergente offre un'azione pulente eccezionale, facendo risplendere il bianco dei tuoi capi. Lascia un gradevole profumo fresco, rendendo ogni lavaggio un'esperienza piacevole.",/images/marbec_products/DETERSIVOBELBUCATOBIANCOPERFETTO.webp
DETERSIVO BELBUCATO PROFUMOSO,Marbec,"Detergente liquido per il bucato. Grazie alla sua formula avanzata, questo detergente offre un'azione pulente eccezionale, eliminando le macchie più ostinate anche a basse temperature. Lascia sui tuoi capi un gradevole profumo fresco, rendendo ogni lavaggio un'esperienza piacevole.",/images/marbec_products/DETERSIVOBELBUCATOPROFUMOSO.webp
