name,brand,description,image_url
BRAVE s ESD,U-Power,"Scarpe antinfortunistiche basse, leggere e comode U-Power della linea Red Lion, con tomaia in pelle nabuk naturale bottalato, traspiranti, idrorepellente, puntale in alluminio, antiperforazione, antiscivolo e suola PU/PU, infinergy.",/images/upower_prodotti/BRAVEsESD.webp
DARDO s,U-Power,"Scarpe antinfortunistiche basse totalmente ""metal free"", comode e leggere U-Power della linea Rock&Roll, con tomaia in morbida pelle scamosciata con inserti rete ultra traspirante, inserti in Mesh traspirante, puntale AirToe Composite, antiperforazione, antiscivolo e suola PU/PU.",/images/upower_prodotti/DARDOs.webp
MARCUS  ESD,U-Power,"Marcus è una scarpa da lavoro pensata per chi cerca una combinazione di comfort e protezione . La tomaia in microfibra effetto Nabuk è idrorepellente , resistente e facile da pulire , ideale per ambienti di lavoro impegnativi. Il puntale Fibertoe assicura protezione prolungata, mentre il sottopiede antiforo ultra leggero garantisce sicurezza contro i rischi di perforazione . Completamente metal free , Marcus assicura una calzata più leggera e pratica. La suola EVA e gomma grigia offre stabilità e aderenza, assicurando il massimo delle prestazioni. È disponibile in tutte le taglie dalla 35 alla 48.",/images/upower_prodotti/MARCUSESD.webp
SOFT o,U-Power,"Scarpe antinfortunistiche bianche basse totalmente ""no metal"", comode e leggere U-Power della linea Professional, con tomaia Safety Dry idrorepellente, puntale Golia 0 Joule, antistatiche, resistenti agli idrocarburi e oli, antiscivolo e suola PU/PU.",/images/upower_prodotti/SOFTo.webp
MIKE s ESD,U-Power,"Scarpe antinfortunistiche leggere traspiranti che utilizzano nuovi materiali per ridurre il peso della calzatura e offrire maggiore comfort e risparmio di energie.

Scarpe da lavoro antiscivolo con suola antistatica , antiolio e anti-abrasione in mescola PU di nuova generazione, super leggera .

Tomaia in Nylon traspirante e film anti-abrasione a protezione della punta con effetto bi-colore. La protezione è assicurata dalla presenza del puntale AirToe Aluminium e dall’innovativo sottopiede tessile antiforo ultraleggero .

Scarpe antinfortunistiche leggere e comode , adatte sia ad una clientela maschile che femminile, con fodera a tunnel d'aria WingTex che assicura una traspirazione ottimale e soletta anatomica leggera U-Power Original in mescola poliuretanica, ad effetto antibatterico e traspirante.

Scarpe da lavoro estive ideali per: falegname , elettricista e artigiani in generale, trasporti & logistica , magazziniere .",/images/upower_prodotti/MIKEsESD.webp
LION s,U-Power,"Scarpe antinfortunistiche alte, leggere e comode U-Power della linea The Roar, con tomaia in pelle Nabuk naturale bottalato, idrorepellente,  puntale in alluminio, antiperforazione, antiscivolo e suola PU/PU LIGHT GRIP.",/images/upower_prodotti/LIONs.webp
TONGUE L,U-Power,"Scarpe antinfortunistiche basse, classiche e robuste U-Power della linea Style&Job, con tomaia in pelle stampata idrorepellente, puntale in acciaio, antiperforazione, antiscivolo, lamina in acciaio ergonomica e suola PU/PU.",/images/upower_prodotti/TONGUEL.webp
SUN s,U-Power,"Scarpe antinfortunistiche basse totalmente ""metal free"", comode e leggere U-Power della linea Rock&Roll, con tomaia in morbida pelle scamosciata, inserti in Mesh traspirante, puntale AirToe Composite, antiperforazione, antiscivolo e suola PU/PU.",/images/upower_prodotti/SUNs.webp
OSLO s ESD,U-Power,"Scarpe antinfortunistiche senza lacci con tomaia in morbida pelle scamosciata e chiusura con velcro .

Calzature da lavoro con puntale Airtoe Composite e sistema anti-perforazione Save & Flex Plus totalmente "" No Metal "" che garantiscono sicurezza e protezione della punta e della pianta del piede.

Scarpe da lavoro leggere e comode con sottopiede automodellante e inserto antifatica WOW2 che migliora equilibrio e stabilità, riducendo lo stress corporeo e migliorando la percezione di comodità e benessere.

Calzature antinfortunistica con suola antiscivolo , antiolio , antistatica e anti-abrasione ideali in diversi ambiti lavorativi, come: artigiani , falegnami , elettricisti , idraulici , imbianchini , operai , benzinai , meccanici e gommisti , agricoltura e giardineria , trasporti & logistica , cantiere e muratore .

Scarpe da lavoro uomo e donna .",/images/upower_prodotti/OSLOsESD.webp
FOREMAN o ESD,U-Power,"Scarpe antinfortunistiche basse, leggere e comode U-Power della linea Red Pro, con tomaia in Nylon traspirante con rivestimento protettivo, idrorepellente e suola PU/PU infinergy.",/images/upower_prodotti/FOREMANoESD.webp
TIKI s ESD,U-Power,"Scarpe antinfortunistiche basse, leggere e comode U-Power della linea Red Lion, con tomaia in pelle nabuk naturale bottalato, traspiranti, idrorepellente, puntale in alluminio, antiperforazione, antiscivolo e suola PU/PU, infinergy.",/images/upower_prodotti/TIKIsESD.webp
DEA s ESD,U-Power,"Scarpe antinfortunistiche basse, leggere e comode U-Power della linea Red Lion, con tomaia in  nylon ultra traspiranti e morbida pelle scamosciata, puntale in alluminio, antiperforazione, antiscivolo e suola PU/PU infinergy.",/images/upower_prodotti/DEAsESD.webp
DEPP RS L,U-Power,"Scarpe antinfortunistiche alte, per ambienti ad alto rischio di U-Power della linea U-Special, con tomaia in pelle grana mina idrorepellente, puntale Composite, lamina in acciaio ergonomica, protezione del metatarso, antiscivolo e suola PU/VIBRAM.",/images/upower_prodotti/DEPPRSL.webp
MOJAVE UK s ESD,U-Power,"Mojave UK è una scarpa da lavoro antinfortunistica che rispetta i criteri di sostenibilità, realizzata per abbattere le emissioni di CO2 a partire da fonti rinnovabili .

Scarpe antinfortunistiche green dotate di puntale AirToe Composite ultraleggero per la protezione delle dita e della parte anteriore del piede con puntalino di rinforzo. La sicurezza è incrementata dal sistema antiperforazione Save&Flex plus green totalmente no metal, realizzato con il 59% di materiali riciclati.

Mojave UK sono scarpe antinfortunistiche dotate di tomaia in morbida microfibra con elevata percentuale di materiale riciclato .

Scarpe antinfortunistiche basse e comode altamente traspiranti perchè dotate di fodera a tunnel d'aria traspirante WingTex® Green realizzata con 66% di materiali riciclati che assicura massimo comfort e benessere del piede. Il comfort è assicurato anche dal sottopiede WOW2 Green anatomico , antibatterico , antistatico e automodellante in PU di BASF.

La suola di queste scarpe da lavoro eco-sostenibili originata da fonti rinnovabili è realizzata in PU di BASF 100% ed è antiabrasione , antiolio , antiscivolo e antistatica .

Mojave UK è una scarpa da lavoro ideale per i seguenti ambiti di utilizzo: industria , logistica , automotive e catena di montaggio .",/images/upower_prodotti/MOJAVEUKsESD.webp
STRONG s ESD,U-Power,"Scarpa antinfortunistica RedLion®, con puntale AirToe Aluminium e sistema antiperforazione Save & Flex Plus, progettata per garantire un benessere prolungato del piede. Leggere, comode, con tomaia in PUTEK® PLUS ad elevata resistenza all'abrasione, elevata traspirazione e chiusura con lacci e soffietto di nylon imbottito per garantire elevato comfort della calzata. Queste scarpe da lavoro sono in grado di garantire comfort e leggerezza grazie alla suola con innovativo sistema Infinergy® e all'intersuola in PU espanso. Il tacco polifunzionale e il battistrada in PU compatto offrono aderenza, sicurezza e stabilità della postura. Questa calzatura è adatta all'uso in ambienti umidi, trasporti e logistica, settore terziario e dei servizi.",/images/upower_prodotti/STRONGsESD.webp
SPYKE s ESD,U-Power,"Scarpe antinfortunistiche basse, leggere e comode U-Power della linea Red Lion, con tomaia in pelle nabuk naturale bottalato, traspiranti, idrorepellente, puntale in alluminio, antiperforazione, antiscivolo e suola PU/PU, infinergy.",/images/upower_prodotti/SPYKEsESD.webp
KRUG s ESD,U-Power,"Scarpe antinfortunistiche basse, leggere e comode U-Power della linea Red 360, con tomaia in PUTEK® HD ad alta tenacità, idrorepellente e traspirante, Puntalino in PU e tallonetta anti-shock, puntale in alluminio, antiperforazione, antiscivolo e suola PU/PU infinergy.",/images/upower_prodotti/KRUGsESD.webp
STOCCOLMA s ESD,U-Power,"Scarpe antinfortunistiche leggere con particolare protezione dal freddo della suola (A temp. ≤ 10 °C.) e tomaia in Putek® Plus altamente resistente all’abrasione e idrorepellente .

Scarpe da lavoro comode con fodera interna a tunnel d’aria e suola anatomica e automodellante , arricchita da un inserto antifatica in grado di ridurre lo stress corporeo e di migliorare stabilità ed equilibrio per un maggior benessere durante tutta la giornata .

Calzature antinfortunistiche uomo , adatte anche ad un pubblico femminile, con puntale in composito AirToe e sistema anti-perforazione tessile per la protezione della punta e del 100% della pianta del piede.

Calzature di sicurezza con suola PU/PU antiscivolo , antiolio , anti-abrasione e antistatica adatte a: artigiano , falegname , elettricista , idraulico , imbianchino , benzinaio , operaio , muratore , trasporti & logistica , giardinaggio e agricoltura , meccanico e gommista .",/images/upower_prodotti/STOCCOLMAsESD.webp
