name,brand,description,image_url
Aquadrain-550,Sika,Aquadrain 550 è  uno strato di drenaggio realizzato con fibre di polipropilene (PP) ad elevata resistenza meccanica.,N/A
Bandella rl 120,Sika,Bandella rl 120 è un nastro impermeabilizzante per trattare le discontinuità durante l’applicazione di malte impermeabilizzanti cementizie.,/images/sika_prodotti/Bandellarl120.webp
Ethafoam,Sika,"Ethafoam è un cordone plastico preformato a sezione circolare in polietilene espanso a cellule chiuse, per il preriempimento di giunti o interstizi soggetti al successivo riempimento con prodotti sigillanti.",/images/sika_prodotti/Ethafoam.webp
Purigo® I-100,Sika,"Purigo® I-100 è un prodotto base di resina acrilica e silicati in emulsione acquosa, monocomponente, pronto all’uso. Per il trattamento superficiale di supporti cementizi orizzontali..",/images/sika_prodotti/PurigoI-100.webp
Sarnafil® G 410-15 EL,Sika,"Sarnafil® G 410-15 EL (spessore 1.5 mm) è un manto sintetico, flessibile, per l’impermeabilizzazione di tetti, a base di polivinilcloruro plastificato (PVC-p) di elevata qualità, con armatura interna in velo vetro, conforme alla norma di prodotto EN 13956.Sarnafil® G 410-15 EL è un manto impermeabile saldabile ad aria calda, contenente stabilizzatori alla luce ultravioletta e ritardanti di fiamma, provvisto di esclusiva laccatura superficiale, per una minore manutenzione e maggiore durabilità nel tempo.",/images/sika_prodotti/SarnafilG410-15EL.webp
Sarnafil® G 410-15 EL Felt,Sika,"Sarnafil® G 410-15 EL Felt (spessore 1.5 mm) è un manto sintetico, flessibile, per l’impermeabilizzazione di tetti, a base di polivinilcloruro plastificato (PVC-p) dielevata qualità, con armatura interna in velo vetro e pre-laminato sulla faccia inferiore a tessuto non tessuto in poliestere, conforme alla norma di prodottoEN 13956.Sarnafil® G 410-15 EL Felt è un manto impermeabile saldabile ad aria calda, contenente stabilizzatori alla luce ultravioletta e ritardanti di fiamma, provvisto diesclusiva laccatura superficiale, per una minore manutenzione e maggiore durabilità nel tempo.",/images/sika_prodotti/SarnafilG410-15ELFelt.webp
Sarnafil® G 410-18 EL,Sika,"Sarnafil® G 410-18 EL (spessore 1.8 mm) è un manto sintetico, flessibile, per l’impermeabilizzazione di tetti, a base di polivinilcloruro plastificato (PVC-p) di elevata qualità, con armatura interna in velo vetro, conforme alla norma di prodotto EN 13956. 
  Sarnafil® G 410-18 EL è un manto impermeabile saldabile ad aria calda, contenente stabilizzatori alla luce ultravioletta e ritardanti di fiamma, provvisto di esclusiva laccatura superficiale, per una minore manutenzione e maggiore durabilità nel tempo.",/images/sika_prodotti/SarnafilG410-18EL.webp
Sarnafil® G 410-18 EL Felt,Sika,"Sarnafil® G 410-18 EL Felt (spessore 1.8 mm) è un manto sintetico, flessibile, per l’impermeabilizzazione di tetti, a base di polivinilcloruro plastificato (PVC-p) di elevata qualità, con armatura interna in velo vetro e pre-laminato sulla faccia inferiore a tessuto non tessuto in poliestere, conforme alla norma di prodottoEN 13956.Sarnafil® G 410-18 EL Felt è un manto impermeabile saldabile ad aria calda, contenente stabilizzatori alla luce ultravioletta e ritardanti di fiamma, provvisto di esclusiva laccatura superficiale, per una minore manutenzione e maggiore durabilità nel tempo.",/images/sika_prodotti/SarnafilG410-18ELFelt.webp
Sarnafil® S 327-15 EL,Sika,"Sarnafil® S 327-15 EL (spessore 1.5 mm) è un manto sintetico, armato con rete di poliestere a base di polivinilcloruro (PVC) di elevata qualità, per l'impermeabilizzazione di coperture, contenente stabilizzatori alla luce ultravioletta e ritardanti di fiamma, prodotto secondo la norma EN 13956. 
  Sarnafil® S 327-15 EL è un manto impermeabile saldabile ad aria calda, formulato per esposizione diretta ai raggi UV, progettato per l’utilizzo in tutte le condizioni climatiche.",/images/sika_prodotti/SarnafilS327-15EL.webp
Sarnafil® S 327-18 EL,Sika,"Sarnafil® S 327-18 EL (spessore 1.8 mm) è un manto sintetico, armato con rete di poliestere a base di polivinilcloruro (PVC) di elevata qualità, per l'impermeabilizzazione di coperture, contenente stabilizzatori alla luce ultravioletta e ritardante di fiamma, prodotto secondo la norma EN 13956.Sarnafil® S 327-18 EL è un manto impermeabile saldabile ad aria calda, formulato per esposizione diretta ai raggi UV, progettato per l’utilizzo in tutte le condizioni climatiche.",/images/sika_prodotti/SarnafilS327-18EL.webp
Sarnafil® TG 66-15,Sika,"Sarnafil® TG 66-15 (spessore 1.5 mm) è un manto sintetico, flessibile, per l’impermeabilizzazione di tetti, a base di poliolefine flessibili (FPO) di elevata qualità, con armatura interna in velo vetro, secondo normaEN 13956.Sarnafil® TG 66-15 è un manto impermeabile saldabile ad aria calda, resistente ai raggi UV, formulato per l’utilizzo in tutte le condizioni climatiche.",/images/sika_prodotti/SarnafilTG66-15.webp
Sarnafil® TG 66-18,Sika,"Sarnafil® TG 66-18 (spessore 1.8 mm) è un manto sintetico, flessibile, per l’impermeabilizzazione di tetti, a base di poliolefine flessibili (FPO) di elevata qualità, con armatura interna in velo vetro, secondo normaEN 13956.Sarnafil® TG 66-18 è un manto impermeabile saldabile ad aria calda, resistente ai raggi UV, formulato per l’utilizzo in tutte le condizioni climatiche.",/images/sika_prodotti/SarnafilTG66-18.webp
Sarnafil® TG 66-20,Sika,"Sarnafil® TG 66-20 (spessore 2.0 mm) è un manto sintetico, flessibile, per l’impermeabilizzazione di tetti, a base di poliolefine flessibili (FPO) di elevata qualità, con armatura interna in velo vetro, secondo norma EN 13956.Sarnafil® TG 66-20 è un manto impermeabile saldabile ad aria calda, resistente ai raggi UV, formulato per l’utilizzo in tutte le condizioni climatiche.",/images/sika_prodotti/SarnafilTG66-20.webp
Sarnafil® TG 76-15 Felt PS,Sika,"Sarnafil® TG 76-15 Felt PS (spessore 1.5 mm) è un manto sintetico, flessibile, per l’impermeabilizzazione di tetti, a base di poliolefine flessibili (FPO) di elevata qualità, contenente stabilizzatori alla luce ultravioletta, avente armatura interna in velo vetro e accoppiato sulla faccia inferiore a tessuto non tessuto combinato poliestere / velo vetro, prodotto conformemente alla norma EN 13956. Sarnafil® TG 76-15 Felt PS è un manto impermeabile saldabile ad aria calda, resistente ai raggi UV, formulato per l’utilizzo in tutte le condizioni climatiche.",/images/sika_prodotti/SarnafilTG76-15FeltPS.webp
Sarnafil® TG 76-18 Felt PS,Sika,"Sarnafil® TG 76-18 Felt PS (spessore 1.8 mm) è un manto sintetico, flessibile, per l’impermeabilizzazione di tetti, a base di poliolefine flessibili (FPO) di elevata qualità, contenente stabilizzatori alla luce ultravioletta, avente armatura interna in velo vetro e accoppiato sulla faccia inferiore a tessuto non tessuto combinato poliestere / velo vetro, prodotto conformemente alla norma EN 13956.Sarnafil® TG 76-18 Felt PS è un manto impermeabile saldabile ad aria calda, resistente ai raggi UV, formulato per l’utilizzo in tutte le condizioni climatiche.",/images/sika_prodotti/SarnafilTG76-18FeltPS.webp
Sarnafil® TG 76-20 Felt PS,Sika,"Sarnafil® TG 76-20 Felt PS (spessore 2.0 mm) è un manto sintetico, flessibile, per l’impermeabilizzazione di tetti, a base di poliolefine flessibili (FPO) di elevata qualità, contenente stabilizzatori alla luce ultravioletta, avente armatura interna in velo vetro e accoppiato sulla faccia inferiore a tessuto non tessuto combinato poliestere / velo vetro, prodotto conformemente alla norma EN 13956.Sarnafil® TG 76-20 Felt PS è un manto impermeabile saldabile ad aria calda, resistente ai raggi UV, formulato per l’utilizzo in tutte le condizioni climatiche",/images/sika_prodotti/SarnafilTG76-20FeltPS.webp
Sarnafil® TS 77-15,Sika,"Sarnafil® TS 77-15 (spessore 1.5 mm) è un manto sintetico, flessibile, per l’impermeabilizzazione di tetti, a base di poliolefine flessibili (FPO) di elevata qualità, contenente stabilizzatori alla luce ultravioletta, ritardante di fiamma, prodotto con armatura composita in rete di poliestere e fibra di vetro, secondo normaEN 13956. 
  Sarnafil® TS 77-15 è un manto impermeabile saldabile ad aria calda, resistente ai raggi UV, formulato per essere utilizzato in tutte le condizioni climatiche.Sarnafil® TS 77-15 è prodotto con armatura composita in rete di poliestere e fibra di vetro per garantire elevata resistenza e stabilità dimensionale.",/images/sika_prodotti/SarnafilTS77-15.webp
Sarnafil® TS 77-15 E,Sika,"Sarnafil® TS 77-15 E (spessore 1,5 mm) è un manto sintetico, flessibile, per l’impermeabilizzazione di tetti, a base di poliolefine flessibili (FPO) di elevata qualità, contenente stabilizzatori alla luce ultravioletta, ritardante di fiamma, prodotto con armatura composita in rete di poliestere e fibra di vetro, secondo normaEN 13956.Sarnafil® TS 77-15 E è un manto impermeabile saldabile ad aria calda, resistente ai raggi UV, formulato per essere utilizzato in tutte le condizioni climatiche. Sarnafil® TS 77-15 E è prodotto con armatura composita in rete di poliestere e fibra di vetro per garantire elevata resistenza e stabilità dimensionale.",/images/sika_prodotti/SarnafilTS77-15E.webp
Sarnafil® TS 77-18,Sika,"Sarnafil® TS 77-18 (spessore 1.8 mm) è un manto sintetico, flessibile, per l’impermeabilizzazione di tetti, a base di poliolefine flessibili (FPO) di elevata qualità, contenente stabilizzatori alla luce ultravioletta, ritardante di fiamma, prodotto con armatura composita in rete di poliestere e fibra di vetro, secondo normaEN 13956. 
  Sarnafil® TS 77-18 è un manto impermeabile saldabile ad aria calda, resistente ai raggi UV, formulato per essere utilizzato in tutte le condizioni climatiche.Sarnafil® TS 77-18 è prodotto con armatura composita in rete di poliestere e fibra di vetro per garantire elevata resistenza e stabilità dimensionale.",/images/sika_prodotti/SarnafilTS77-18.webp
Sarnafil® TS 77-18 E,Sika,"Sarnafil® TS 77-18 E (spessore 1,8 mm) è un manto sintetico, flessibile, per l’impermeabilizzazione di tetti, a base di poliolefine flessibili (FPO) di elevata qualità, contenente stabilizzatori alla luce ultravioletta, ritardante di fiamma, prodotto con armatura composita in rete di poliestere e fibra di vetro, secondo normaEN 13956. 
  Sarnafil® TS 77-18 E è un manto impermeabile saldabile ad aria calda, resistente ai raggi UV, formulato per essere utilizzato in tutte le condizioni climatiche.Sarnafil® TS 77-18 E è prodotto con armatura composita in rete di poliestere e fibra di vetro per garantire elevata resistenza e stabilità dimensionale.",/images/sika_prodotti/SarnafilTS77-18E.webp
Sarnafil® TS 77-20,Sika,"Sarnafil® TS 77-20 (spessore 2.0 mm) è un manto sintetico, flessibile, per l’impermeabilizzazione di tetti, a base di poliolefine flessibili (FPO) di elevataqualità, contenente stabilizzatori alla luce ultravioletta, ritardante di fiamma, prodotto con armatura composita in rete di poliestere e fibra di vetro, secondo normaEN 13956.Sarnafil® TS 77-20 è un manto impermeabile saldabile ad aria calda, resistente ai raggi UV, formulato per essere utilizzato in tutte le condizioni climatiche.Sarnafil® TS 77-20 è prodotto con armatura composita in rete di poliestere e fibra di vetro per garantire elevata resistenza e stabilità dimensionale.",/images/sika_prodotti/SarnafilTS77-20.webp
Sarnafil® TS 77-20 E,Sika,"Sarnafil® TS 77-20 E (spessore 2,0 mm) è un manto sintetico, flessibile, per l’impermeabilizzazione di tetti, a base di poliolefine flessibili (FPO) di elevata qualità, contenente stabilizzatori alla luce ultravioletta, ritardante di fiamma, prodotto con armatura composita in rete di poliestere e fibra di vetro, secondo normaEN 13956. 
  Sarnafil® TS 77-20 E è un manto impermeabile saldabile ad aria calda, resistente ai raggi UV, formulato per essere utilizzato in tutte le condizioni climatiche.Sarnafil® TS 77-20 E è prodotto con armatura composita in rete di poliestere e fibra di vetro per garantire elevata resistenza e stabilità dimensionale.",/images/sika_prodotti/SarnafilTS77-20E.webp
