name,brand,description,image_url
Keracem Eco,Kerakoll,"Legante idraulico minerale certificato, a presa normale e asciugamento rapido per massetti e piastre radianti ad alta resistenza.",/images/kerakoll_prodotti/KeracemEco.webp
Keracem Eco Pronto,Kerakoll,"Massetto pronto minerale certificato, a presa normale e rapido asciugamento per la posa con adesivi.",/images/kerakoll_prodotti/KeracemEcoPronto.webp
Keracem Eco Prontoplus,Kerakoll,"Massetto pronto minerale certificato, fibrorinforzato a presa normale e rapido asciugamento per la posa con adesivi.",/images/kerakoll_prodotti/KeracemEcoProntoplus.webp
Massetto Premix,Kerakoll,"Massetto pronto minerale a consistenza terra umida, a presa normale e rapido asciugamento per la posa con adesivi.",/images/kerakoll_prodotti/MassettoPremix.webp
Keralevel Eco LR,Kerakoll,"Livellante minerale certificato, rapido per la rettifica ad alta resistenza ed elevato spessore di fondi irregolari.",/images/kerakoll_prodotti/KeralevelEcoLR.webp
Keralevel Eco Ultra,Kerakoll,"Livellante minerale certificato, ultrarapido per la rettifica ad alta resistenza ed elevato spessore di fondi irregolari.",/images/kerakoll_prodotti/KeralevelEcoUltra.webp
Keralevel Eco,Kerakoll,"Livellante minerale certificato, tixotropico a presa normale per la rettifica ad alta resistenza e lavorabilità prolungata, di fondi irregolari.",/images/kerakoll_prodotti/KeralevelEco.webp
Keralevel Eco RP,Kerakoll,Rasante organico minerale per fondi assorbenti compatti e inassorbenti.,/images/kerakoll_prodotti/KeralevelEcoRP.webp
Planogel Rheo,Kerakoll,Gel‑autolivellante a reologia e viscosità variabili. Lavorabilità prolungata e tempi di attesa per la posa ridotti.,/images/kerakoll_prodotti/PlanogelRheo.webp
Flowtech Klima,Kerakoll,"Fondo di posa autolivellante per il comfort termico, ideale per qualsiasi tipologia di impianto radiante.",/images/kerakoll_prodotti/FlowtechKlima.webp
Flowtech Tile,Kerakoll,Fondo di posa autolivellante per rivestimenti in ceramica e pietre naturali. Ideale per grandi lastre.,/images/kerakoll_prodotti/FlowtechTile.webp
Flowtech Plus,Kerakoll,"Autolivellante a finitura effetto seta e perfetta planarità, ideale per la posa dei rivestimenti resilienti.",/images/kerakoll_prodotti/FlowtechPlus.webp
Keraplast Eco P6,Kerakoll,Lattice all’acqua per malte minerali e boiacche d’aggancio.,/images/kerakoll_prodotti/KeraplastEcoP6.webp
Keraplast Eco 337,Kerakoll,Lattice all’acqua per livellanti e rasanti minerali a presa normale e rapida. Primer consolidante per sottofondi assorbenti a parete a base minerale e cemento diluito con acqua.,/images/kerakoll_prodotti/KeraplastEco337.webp
Active Prime Fix,Kerakoll,"Promotore di adesione universale rapido, per autolivellanti, adesivi cementizi, rasanti e intonaci.",/images/kerakoll_prodotti/ActivePrimeFix.webp
Active Prime Grip,Kerakoll,"Promotore di adesione universale rapido, per autolivellanti, adesivi cementizi, rasanti e intonaci. Finitura quarzata.",/images/kerakoll_prodotti/ActivePrimeGrip.webp
Keradur Eco,Kerakoll,Consolidante di profondità certificato all’acqua per fondi assorbenti.,/images/kerakoll_prodotti/KeradurEco.webp
Kerarep,Kerakoll,Saldante ultrarapido per il ripristino di fessure e crepe in massetti minerali e calcestruzzo.,/images/kerakoll_prodotti/Kerarep.webp
