name,marca,descrizione,image_url
GSB 12V-35 Professional Trapani battenti – Avvitatori a batteria,Bosch,"Il più alto numero di colpi nella categoria da 12 V, che consente una potente foratura a percussione fino a Ø 10 mm nelle opere in muratura
La struttura compatta consente una perfetta maneggevolezza e un facile utilizzo, anche in situazioni di lavoro difficili
Elevata velocità di rotazione di 1.750 giri/min per un’ampia varietà di lavori",/images/bosch_products_elettroutensili/GSB_12V-35_Professional_Trapani_battenti_–_Avvitatori_a_batteria.webp
GSR 12V-35 HX Professional Avvitatore a batteria,Bosch,"Avvitatore a batteria estremamente compatto nella classe da 12 V che consente un facile accesso a spazi limitati e ristretti
Grazie al numero di giri massimo di 1750 giri/min, GSR 12V-35 HX è l’avvitatore a batteria a 2 velocità più veloce nella categoria da 12 V
Interfaccia portabit da 1/4"" bloccabile per una facile sostituzione dei bit",/images/bosch_products_elettroutensili/GSR_12V-35_HX_Professional_Avvitatore_a_batteria.webp
GSR 12V-35 FC Professional Trapano avvitatore a batteria,Bosch,"FlexiClick System: accessori di facile utilizzo in grado di offrire fino a 8 combinazioni
Estremamente compatto e tuttavia molto potente, con 35 Nm e 1,750 giri/min garantisce un’ottimale maneggevolezza anche in punti difficili da raggiungere
Il motore brushless con il sistema Electronic Motor Protection previene il sovraccarico ed assicura una lunga durata dell’utensile",/images/bosch_products_elettroutensili/GSR_12V-35_FC_Professional_Trapano_avvitatore_a_batteria.webp
GGP 12V-25 Professional Potatore a batteria,Bosch,"Taglia senza fatica rami con diametro fino a 25 mm grazie al potente motore brushless
La batteria da 12 V ad alte prestazioni consente fino a 4500 tagli per ogni carica
Peso di soli 0,83 kg e design ergonomico per una facile maneggevolezza durante le lunghe sessioni di potatura",/images/bosch_products_elettroutensili/GGP_12V-25_Professional_Potatore_a_batteria.webp
GSR 12V-35 Professional Trapano avvitatore a batteria,Bosch,"Il design compatto consente una manovrabilità ottimale dell’utensile specialmente nel caso dei lavori sopra-testa o in spazi ristretti
Ottimo rapporto prestazioni-dimensioni: 35 Nm di coppia, 0-1,750 giri/min, lunghezza della testa 154 mm
Il motore brushless con il sistema Electronic Motor Protection previene il sovraccarico ed assicura una lunga durata dell’utensile",/images/bosch_products_elettroutensili/GSR_12V-35_Professional_Trapano_avvitatore_a_batteria.webp
GPB 18VH-6 SRC Professional Radio,Bosch,"Per godere di un sound straordinario con DAB+, FM, Bluetooth®, AUX e Multi-Speaker Sound
Quando la radio è collegata alla rete elettrica, consente di ricaricare le batterie da 12 V e 18 V
La compatibilità con L-BOXX semplifica il trasporto della radio in ogni cantiere",/images/bosch_products_elettroutensili/GPB_18VH-6_SRC_Professional_Radio.webp
GHH 12+18V XA S Professional Felpa riscaldabile,Bosch,"Ideale capo mid-layer, per mantenere il calore anche con basse temperature e cattivo tempo
Riscaldamento a tre zone e regolabile su tre livelli, per un calore durevole e distribuito in maniera ideale
Agevole ricarica di dispositivi USB, tramite la porta integrata dell’adattatore batteria",/images/bosch_products_elettroutensili/GHH_12+18V_XA_S_Professional_Felpa_riscaldabile.webp
GPB 18V-6 C Professional Altoparlante Bluetooth®,Bosch,"Per un suono eccezionale e cristallino tramite Bluetooth®, USB o Multi-Speaker Sound
Condivisione e collegamento di streaming musicali tramite Bluetooth® su più dispositivi compatibili, grazie al Multi-Speaker Sound
Facile da usare, grazie alla configurazione semplice e all’indicatore del livello di carica della batteria a LED",/images/bosch_products_elettroutensili/GPB_18V-6_C_Professional_Altoparlante_Bluetooth®.webp
GHJ 12+18V XA 3XL Professional Giacca riscaldabile,Bosch,"Ideale soluzione a capo singolo: offre un calore ideale, rendendo superfluo l’abbigliamento a più strati
Riscaldamento a tre zone e regolabile su tre livelli, per un calore durevole e distribuito in maniera ideale
Agevole ricarica di dispositivi USB, tramite la porta integrata dell’adattatore batteria",/images/bosch_products_elettroutensili/GHJ_12+18V_XA_3XL_Professional_Giacca_riscaldabile.webp
GHV 12+18V XA S Professional Gilet riscaldabile,Bosch,"Per ottenere un calore costante con la massima libertà di movimento, soprattutto per le braccia
Riscaldamento a tre zone e regolabile su tre livelli, per un calore durevole e distribuito in maniera ideale
Agevole ricarica di dispositivi USB, tramite la porta integrata dell’adattatore batteria",/images/bosch_products_elettroutensili/GHV_12+18V_XA_S_Professional_Gilet_riscaldabile.webp
GKF 12V-8 Professional Rifilatore a batteria,Bosch,"Design innovativo, peso ridotto e baricentro ideale sono ottimizzati per offrire il massimo in termini di maneggevolezza ed ergonomia
Il motore brushless ed il sistema da 12 V contribuiscono a rendere compatto il corpo della macchina
Alimentazione a batteria per la massima manovrabilità, comodità e libertà durante le operazioni di fresatura",/images/bosch_products_elettroutensili/GKF_12V-8_Professional_Rifilatore_a_batteria.webp
GRO 12V-35 Professional Utensile rotativo a batteria,Bosch,"Potente motore ad elevato numero di giri (fino a 35.000 giri/min), per un rapido avanzamento del lavoro
Molteplici possibilità di applicazioni professionali come taglio, levigatura, fresatura, lucidatura e foratura, in particolare in punti difficilmente accessibili
Lavoro senza fatica grazie alla struttura compatta, al design ergonomico e all’illuminazione a LED integrata",/images/bosch_products_elettroutensili/GRO_12V-35_Professional_Utensile_rotativo_a_batteria.webp
GSA 12V-14 Professional Sega universale a batteria,Bosch,"Grazie alla struttura compatta, permette un controllo ideale durante le operazioni, mentre il sistema senza attrezzi Bosch SDS assicura una rapida e facile sostituzione della lama
La circonferenza ridotta dell’impugnatura assicura un’ergonomia eccellente
Il peso ridotto è sinonimo di comfort durante il lavoro",/images/bosch_products_elettroutensili/GSA_12V-14_Professional_Sega_universale_a_batteria.webp
