name,marca,descrizione,image_url
FITT Jantis ACT,FITT,"FITT Jantis Act è un tubo per l'irrigazione retinato, composto da PVC riciclato senza ftalati. Ideale per l'impiego intensivo e prolungato grazie alla sua robustezza e al suo rinforzo retinato, che gli attribuisce un'ottima resistenza alla pressione dell'acqua.",/images/fitt_products/FITTJantisACT.webp
FITT Jantis EVO,FITT,"FITT Jantis Evo è la nuova innovazione di FITT: un tubo per l'irrigazione facile da utilizzare con tecnologia NTS, che garantisce l'assenza di nodi e torsioni, in PVC riciclato senza ftalati. Grazie all'impiego di un processo produttivo all'avanguardia, FITT Jantis Evo è un tubo da giardino che garantisce delle elevate prestazioni tecniche. Ideale per l'impiego quotidiano e anche prolungato in orti, giardini e per tutte le attività di pulizia all'esterno.",/images/fitt_products/FITTJantisEVO.webp
FITT NTS Red Kit,FITT,"Tubo di colore rosso brillante per Irrigazione da Giardino, Robusto e Malleabile, per Uso Intensivo, con Pistola Multigetto e Raccordi, con Tecnologie NTS e SKY TECH.",/images/fitt_products/FITTNTSRedKit.webp
FITT NTS Red,FITT,"Tubo di colore rosso brillante per Irrigazione da Giardino, Robusto e Malleabile, per Uso Intensivo, con Tecnologie NTS e SKY TECH. Vai al sito dedicato",/images/fitt_products/FITTNTSRed.webp
FITT Cleany 20 bar,FITT,"Progettato per la pulizia nell’industria alimentare e delle aziende agricole, FITT Cleany20 è il prodotto per il passaggio dell’acqua e soluzioni per l’igienizzazione a media e bassa pressione. Ha una elevata resistenza ai componenti chimici aggressivi, ai detergenti per la pulizia e limita la carica batterica grazie agli strati antimicrobici interni ed esterni. Lavora fino a 20 bar di pressione di esercizio a 70°C in continuo.",/images/fitt_products/FITTCleany20bar.webp
FITT Kiuma,FITT,FITT presenta il nuovo tubo da irrigazione che coniuga i benefici di leggerezza e flessibilità dei tubi estensibili con la resistenza dei tubi tradizionali in un’unica soluzione. Grazie all’impiego di tecnologie avanzate e materiali all’avanguardia il tubo mantiene la sua flessibilità a basse temperature e resiste alle pressioni elevate. FITT Kiuma è il tubo da giardino maneggevole e facile da utilizzare ideale per l’utilizzo giornaliero ed intensivo.,/images/fitt_products/FITTKiuma.webp
FITT Metalflex BK,FITT,"Ideale per sprayer, FITT Metalflex BK è adatto per il pasaggio di soluzioni anticrittogamiche, pesticidi e fertilizzanti e per irrorazione. Adeguato anche per i compressori.",/images/fitt_products/FITTMetalflexBK.webp
FITT Woodtek,FITT,"FITT Woodtek è il tubo ideale per la movimentazione di pellet e granuli. Grazie al sottostrato in PU base estere garantisce un’elevata resistenza all'abrasione. La presenza del filamento di rame garantisce al tubo proprietà antistatiche, eliminando il rischio di accumuli di cariche elettriche.",/images/fitt_products/FITTWoodtek.webp
FITT Pure Tek,FITT,"FITT Pure Tek è inodore, privo di PVC, atossico e privo di plastificanti; ha una superficie liscia e trasparente. Estremamente flessibile e con un raggio di curvatura ridotto, è resistente e maneggevole grazie alla formulazione TPE e alla maglia NTS Plus. Ha un’elevata resistenza meccanica e una maggiore leggerezza rispetto ai tubi in gomma.",/images/fitt_products/FITTPureTek.webp
FITT Bluforce,FITT,"Grazie all’innovativa tecnologia PVC-A (PVC-HI)*, FITT Bluforce offre massima resistenza, permettendo un significativo abbattimento degli interventi di manutenzione dell’opera finita e quindi l’utilizzo dell’infrastruttura in totale sicurezza. FITT Bluforce potenzia le proprie prestazioni grazie all’impiego di Power Lock, il sistema di giunzione a bicchiere con guarnizione pre-inserita meccanicamente a caldo, che trasforma il tubo in un sistema completo in grado di garantire facilità di montaggio, perfetta funzionalità ed ottimale tenuta nel tempo. Scarica BIMVai al sito dedicatovedi l'app",/images/fitt_products/FITTBluforce.webp
FITT Blutech,FITT,Il tubo in PVC per il trasporto di fluidi in pressione Scarica BIM,/images/fitt_products/FITTBlutech.webp
FITT Agroflex UV-R Superelastic,FITT,Flessibile e resistente FITT Agroflex UV-R Superelastic è il tubo ideale per essere installato su macchinari agricoli per la fertilizzazione. Liscio internamente ed esternamente.,/images/fitt_products/FITTAgroflexUV-RSuperelastic.webp
FITT Agroflex Multipurpose MDS,FITT,"Flessibile e resistente FITT AGROFLEX MULTIPURPOSE MDS è il tubo ideale per l'aspirazione di liquidi mediante pompe. Adatto per l'uso nell'agricoltura e nella cantieristica edile per l'aspirazione da fossati, lo svuotamento di scavi e cantine, e il trasporto di liquidi. Può essere installato sia su stazioni fisse che su automezzi mobili.",/images/fitt_products/FITTAgroflexMultipurposeMDS.webp
