description,brand,image_url,product_page_url,name
"
• caldaia
ermetica
con focolare a tubi di fumo con turbolatori
•
gruppo idraulico integrato
composto da circolatore, valvola di sicurezza, vaso di espansione chiuso e manometro
•
valvola anticondensa integrata
•
display digitale grafico
con comandi touch
• fasce orarie di funzionamento programmabili su base giornaliera e settimanale
• interfaccia per termostato esterno integrata o per collegamento a puffer
• predisposizione per
Connection Box
•
Complete Burning System
: sistema di combustione totale con minima produzione di cenere
•
Self Cleaning System
: esclusivo sistema di autopulizia totale sia del braciere che dei tubi di scambio
• sistema a
Stella
di caricamento del pellet
• canalizzazione esterna dell’aria comburente

Specifiche Tecniche:
-- Funzionamento a pellet --
Potenza termica nominale: 23.1 kW
Potenza termica diretta all'acqua: 23 kW
Rendimento alla potenza termica nominale: 92.4 %
Autonomia di funzionamento max: 45 h
Capacità serbatoio di alimentazione: 50 kg
Consumo orario pellet: 1.12 - 5.14 kg/h
Diametro uscita fumi: ø 8 cm
Livello di prestazione ambientale: 5 Stelle

Dimensioni:
70 x 63 x 137 cm - undefined kg

Classe Energetica:
A+",Palazzetti,/images/palazzetti_prodotti/CaldaiaapelletJPS25.webp,https://palazzetti.it/prodotti/caldaie/acqua/caldaia-a-pellet-jps-acciaio-tortora-jps-25-acqua,Caldaia a pellet JPS 25
"
• focolare
ibrido legna/pellet
per riscaldamento ad acqua
• portina a scomparsa
• ampia flessibilità di installazione, con la possibilità di scegliere la versione con serbatoio per il pellet a destra o a sinistra
• massima cessione di calore all’acqua
• dissipatore di sicurezza con valvola di scarico termico
• gruppo idraulico integrato composto da circolatore in classe A, valvola di sicurezza, vaso di espansione chiuso e valvola anticondensa
• accensione automatica
• predisposizione per
Connection Box
•
braciere autopulente
• focolare in
Magnofix
®
• passaggio legna/pellet automatico
• valvola di by-pass fumi all’apertura dell’anta
• tecnologia
O
2
Ring
integrata, per l’abbattimento delle emissioni

Specifiche Tecniche:
-- Funzionamento a pellet --
Potenza termica nominale: 22 kW
Potenza termica diretta all'acqua: 17.79 kW
Rendimento alla potenza termica nominale: 91.9 %
Autonomia di funzionamento max: 29 h
Capacità serbatoio di alimentazione: 30 kg
Consumo orario pellet: 1.045 - 4.715 kg/h
Diametro uscita fumi: ø 18 cm
Livello di prestazione ambientale: 4 Stelle
-- Funzionamento a legna --
Potenza termica bruciata: 20.7 kW
Potenza termica nominale: 18.12 kW
Potenza termica diretta all'acqua: 14.2 kW
Rendimento alla potenza termica nominale: 87.55 %
Diametro uscita fumi: ø 18 cm
Livello di prestazione ambientale: 4 Stelle

Dimensioni:
103 x 70 x 183 cm - 385 kg

Classe Energetica:
A+",Palazzetti,/images/palazzetti_prodotti/CaminettoalegnapelletMultifireNTIdroSinistro22acqua.webp,https://palazzetti.it/prodotti/caminetti-a-legna-pellet/acqua/multifire-nt-idro-magnofix-sinistro-legna-18-12-kw-pellet-22-kw-acqua,Caminetto a legna/pellet Multifire NT Idro Sinistro 22 acqua
"
• focolare in
Thermofix
®
• portina a scomparsa
• ampia flessibilità di installazione, con la possibilità di scegliere la versione con serbatoio per il pellet a destra o a sinistra
• predisposto per poter canalizzare l’aria calda in vari ambienti grazie al ventilatore centrifugo da 680 m
3
/h
• accensione automatica
• display digitale con comandi a sfioramento
• predisposizione per
Connection Box
•
braciere autopulente
• passaggio legna/pellet automatico
• valvola di by-pass fumi all’apertura dell’anta
• tecnologia
O
2
Ring
integrata, per l’abbattimento delle emissioni
• possibilità di prelevare l’aria comburente direttamente dall’esterno
• Il prezzo include il servizio obbligatorio di primo avviamento a cura di un tecnico Palazzetti, che illustrerà caratteristiche e funzionamento del prodotto.

Specifiche Tecniche:
-- Funzionamento a pellet --
Potenza termica nominale: 15 kW
Rendimento alla potenza termica nominale: 90.9 %
Autonomia di funzionamento max: 49 h
Capacità serbatoio di alimentazione: 38 kg
Consumo orario pellet: 0.78 - 3.4 kg/h
Diametro uscita fumi: ø 18 cm
Livello di prestazione ambientale: 4 Stelle
-- Funzionamento a legna --
Potenza termica bruciata: 17.04 kW
Potenza termica nominale: 15 kW
Rendimento alla potenza termica nominale: 88.1 %
Diametro uscita fumi: ø 18 cm
Livello di prestazione ambientale: 3 Stelle

Dimensioni:
103 x 70 x 183 cm - 385 kg

Classe Energetica:
A+",Palazzetti,/images/palazzetti_prodotti/CaminettoalegnapelletMultifireNTDestro15aria.webp,https://palazzetti.it/prodotti/caminetti-a-legna-pellet/aria/multifire-nt-aria-thermofix-sinistro-legna-15-kw-pellet-15-kw-aria-canalizzabile,Caminetto a legna/pellet Multifire NT Destro 15 aria
"
• focolare in
Thermofix
®
• panoramica visione della fiamma su tre lati
• apertura della portina a scorrimento
• pulizia semplificata i due vetri laterali si aprono a battente
• n.2 bocchette regolabili con raccordi e prolunga flessibile
• sistema della Doppia Combustione
• sistema brevettato
VDF
®
per una perfetta gestione del tiraggio con conseguente riduzione dei consumi
• possibilità di prelevare l’aria comburente direttamente dall’esterno

Specifiche Tecniche:
-- Funzionamento a legna --
Potenza termica bruciata: 26.41 kW
Potenza termica nominale: 20 kW
Rendimento alla potenza termica nominale: 75.93 %
Diametro uscita fumi: ø 25 cm
Livello di prestazione ambientale: 3 Stelle

Dimensioni:
104 x 63 x 158 cm - 325 kg

Classe Energetica:
A",Palazzetti,/images/palazzetti_prodotti/CaminettoalegnaEcomonobloccoEM1693Daria.webp,https://palazzetti.it/prodotti/caminetti-a-legna/ecomonoblocco-classic/ecomonoblocco-em-16-9-3d-thermofix-20-kw-aria-irraggiamento,Caminetto a legna Ecomonoblocco EM16:9 3D aria
"
• panoramica visione della fiamma con taglio 16/9
• portina in vetro ceramico serigrafata, con apertura a scomparsa totale
• pulizia semplificata, il vetro si apre anche a battente
• focolare con base in ghisa con sistema della Doppia Combustione
• sistema brevettato
VDF
®
per una perfetta gestione del tiraggio con conseguente riduzione dei consumi
• possibilità di prelevare l’aria comburente direttamente dall’esterno
• portaceppi e bocchette regolabili. Attenzione il kit di ventilazione può essere installato solo se il monoblocco è montato sulle gambe di prolunga

Specifiche Tecniche:
-- Funzionamento a legna --
Potenza termica bruciata: 24.59 kW
Potenza termica nominale: 19.77 kW
Rendimento alla potenza termica nominale: 80.52 %
Diametro uscita fumi: ø 25 cm
Livello di prestazione ambientale: 4 Stelle

Dimensioni:
103 x 54 x 155 cm - 240 kg

Classe Energetica:
A",Palazzetti,/images/palazzetti_prodotti/CaminettoalegnaEcomonobloccoEM169FrontaleO2Ringaria.webp,https://palazzetti.it/prodotti/caminetti-a-legna/ecomonoblocco-classic/ecomonoblocco-em-16-9-frontale-ghisa-nero-19-8-kw-o2ring-aria-irraggiamento,Caminetto a legna Ecomonoblocco EM 16:9 Frontale O2Ring aria
"
• focolare con base in ghisa e pareti in cemento refrattario che ottimizza la combustione e l’irraggiamento
• panoramica visione della fiamma su tre lati
• apertura della portina a scorrimento
• pulizia semplificata i due vetri laterali si aprono a battente
• n.2 bocchette regolabili con raccordi e prolunga flessibile
• sistema della Doppia Combustione
• sistema brevettato
VDF
®
per una perfetta gestione del tiraggio con conseguente riduzione dei consumi
• possibilità di prelevare l’aria comburente direttamente dall’esterno
•
NOTE:
il kit di ventilazione può essere installato solo se il monoblocco è montato sulle gambe di prolunga

Specifiche Tecniche:
-- Funzionamento a legna --
Potenza termica bruciata: 18.09 kW
Potenza termica nominale: 14.62 kW
Rendimento alla potenza termica nominale: 80.8 %
Diametro uscita fumi: ø 25 cm
Livello di prestazione ambientale: 3 Stelle

Dimensioni:
58 x 74 x 159 cm - 240 kg

Classe Energetica:
A+",Palazzetti,/images/palazzetti_prodotti/CaminettoalegnaEcomonobloccoS663DFrontaleMagnofixaria.webp,https://palazzetti.it/prodotti/caminetti-a-legna/ecomonoblocco-classic/ecomonoblocco-s66-3d-magnofix-14-6-kw-aria-irraggiamento,Caminetto a legna Ecomonoblocco S66 3D Frontale Magnofix aria
"
• focolare con base in ghisa e pareti in materiale refrattario che ottimizza la combustione e l’irraggiamento
• panoramica visione della fiamma con taglio 25/9
• portina in vetro ceramico con scorrimento fluido e silenzioso
• pulizia semplificata, il vetro si apre anche a battente
• sistema della Doppia Combustione
• sistema brevettato
VDF
®
per una perfetta gestione del tiraggio con conseguente riduzione dei consumi
• possibilità di prelevare l’aria comburente direttamente dall’esterno
• portaceppi e bocchette regolabili

Specifiche Tecniche:
-- Funzionamento a legna --
Potenza termica bruciata: 18.3 kW
Potenza termica nominale: 14.1 kW
Rendimento alla potenza termica nominale: 77.1 %
Diametro uscita fumi: ø 25 cm
Livello di prestazione ambientale: 4 Stelle

Dimensioni:
135 x 53 x 154 cm - 315 kg

Classe Energetica:
A",Palazzetti,/images/palazzetti_prodotti/CaminettoalegnaEcomonobloccoMX259Frontale.webp,https://palazzetti.it/prodotti/caminetti-a-legna/ecomonoblocco-mx/ecomonoblocco-mx-25-9-frontale-magnofix-14-kw-aria-irraggiamento,Caminetto a legna Ecomonoblocco MX25:9 Frontale
"
• focolare con base in ghisa e pareti in cemento refrattario che ottimizza la combustione e l’irraggiamento
• apertura della portina a scorrimento
• sistema di auto-pulizia del vetro che garantisce una ottimale visione della fiamma e permette di ridurre la frequenza di pulizia manuale
• bocchette regolabili con raccordi e prolunga flessibile
• sistema della Doppia Combustione
• sistema brevettato
VDF
®
per una perfetta gestione del tiraggio con conseguente riduzione dei consumi
• possibilità di prelevare l’aria comburente direttamente dall’esterno
•
L:
versione con angolo vetrato a sinistra

Specifiche Tecniche:
-- Funzionamento a legna --
Potenza termica bruciata: 14.3 kW
Potenza termica nominale: 11 kW
Rendimento alla potenza termica nominale: 77.1 %
Diametro uscita fumi: ø 20 cm
Livello di prestazione ambientale: 4 Stelle

Dimensioni:
74 x 55 x 145 cm - 160 kg

Classe Energetica:
A",Palazzetti,/images/palazzetti_prodotti/CaminettoalegnaEcomonobloccoMX64Faria.webp,https://palazzetti.it/prodotti/caminetti-a-legna/ecomonoblocco-mx/ecomonoblocco-mx-64-angolo-magnofix-11-kw-aria-irraggiamento,Caminetto a legna Ecomonoblocco MX 64 F aria
"
• focolare con base in ghisa e pareti in cemento refrattario che ottimizza la combustione e l’irraggiamento
• apertura della portina a scorrimento
• sistema di auto-pulizia del vetro che garantisce una ottimale visione della fiamma e permette di ridurre la frequenza di pulizia manuale
• bocchette regolabili con raccordi e prolunga flessibile
• sistema della Doppia Combustione
• sistema brevettato
VDF
®
per una perfetta gestione del tiraggio con conseguente riduzione dei consumi
• possibilità di prelevare l’aria comburente direttamente dall’esterno

Specifiche Tecniche:
-- Funzionamento a legna --
Potenza termica bruciata: 14.3 kW
Potenza termica nominale: 11 kW
Rendimento alla potenza termica nominale: 77.1 %
Diametro uscita fumi: ø 20 cm
Livello di prestazione ambientale: 4 Stelle

Dimensioni:
74 x 55 x 145 cm - 160 kg

Classe Energetica:
A",Palazzetti,/images/palazzetti_prodotti/CaminettoalegnaEcomonobloccoMX64Faria.webp,https://palazzetti.it/prodotti/caminetti-a-legna/ecomonoblocco-mx/ecomonoblocco-mx-64-frontale-magnofix-11-kw-aria-irraggiamento,Caminetto a legna Ecomonoblocco MX 64 F aria
"
• focolare con base in ghisa e pareti in cemento refrattario che ottimizza la combustione e l’irraggiamento
• apertura della portina a scorrimento
• sistema di auto-pulizia del vetro che garantisce una ottimale visione della fiamma e permette di ridurre la frequenza di pulizia manuale
• bocchette regolabili con raccordi e prolunga flessibile
• sistema della Doppia Combustione
• sistema brevettato
VDF
®
per una perfetta gestione del tiraggio con conseguente riduzione dei consumi
• possibilità di prelevare l’aria comburente direttamente dall’esterno
•
R:
versione con angolo vetrato a destra

Specifiche Tecniche:
-- Funzionamento a legna --
Potenza termica bruciata: 16.7 kW
Potenza termica nominale: 13 kW
Rendimento alla potenza termica nominale: 78 %
Diametro uscita fumi: ø 25 cm
Livello di prestazione ambientale: 4 Stelle

Dimensioni:
85 x 55 x 165 cm - 215 kg

Classe Energetica:
A",Palazzetti,/images/palazzetti_prodotti/CaminettoalegnaEcomonobloccoMX78Faria.webp,https://palazzetti.it/prodotti/caminetti-a-legna/ecomonoblocco-mx/ecomonoblocco-mx-78-angolo-magnofix-13-kw-aria-irraggiamento,Caminetto a legna Ecomonoblocco MX 78 F aria
